attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
31,100,200,4,0,3,1,12148,10754,17,24287,16622,23631
31,100,200,8,0,3,1,12148,10754,38,44942,26908,42628
31,100,200,12,0,3,1,12148,10754,49,45851,24528,44566
31,100,200,16,0,3,1,12148,10754,62,45803,28908,47018
32,100,200,4,-1,9,20904,13092,14703,4,21525,16903,12894
32,100,200,8,-1,9,20904,13092,14703,5,30383,27604,14376
32,100,200,12,-1,9,20904,13092,14703,6,21728,27519,14646
32,100,200,16,-1,9,20904,13092,14703,20,19353,15215,12620
33,100,200,4,3,21,200250,30095,18764,19,28140,25249,19306
33,100,200,8,3,21,200250,30095,18764,37,45427,20529,43034
33,100,200,12,3,21,200250,30095,18764,62,51148,25027,43008
33,100,200,16,3,21,200250,30095,18764,49,52091,29555,42439
34,100,200,4,6,95,460716,27388,27598,196,892725,21170,171001
34,100,200,8,6,95,460716,27388,27598,39,57745,27142,93032
34,100,200,12,6,95,460716,27388,27598,52,45987,23051,42912
34,100,200,16,6,95,460716,27388,27598,35,176708,28933,46393
35,100,200,4,-1,7,10677,122322,19338,5,127977,46976,13959
35,100,200,8,-1,7,10677,122322,19338,9,12146,130648,16203
35,100,200,12,-1,7,10677,122322,19338,5,10882,12937,12223
35,100,200,16,-1,7,10677,122322,19338,6,11158,13182,125168
36,100,200,4,6,76,1208096,32521,36015,242,712256,28281,96503
36,100,200,8,6,76,1208096,32521,36015,57,17646,16762,20602
36,100,200,12,6,76,1208096,32521,36015,75,20761,15479,36878
36,100,200,16,6,76,1208096,32521,36015,45,42176,27358,49215
37,100,200,4,6,65,595366,23164,31818,298,739823,26953,92019
37,100,200,8,6,65,595366,23164,31818,51,14831,14605,15104
37,100,200,12,6,65,595366,23164,31818,53,17793,14608,37376
37,100,200,16,6,65,595366,23164,31818,56,43036,27233,36684
38,100,200,4,6,73,589270,23004,31908,212,491659,31219,149539
38,100,200,8,6,73,589270,23004,31908,43,28242,27112,42659
38,100,200,12,6,73,589270,23004,31908,39,43064,28042,43999
38,100,200,16,6,73,589270,23004,31908,47,42204,26054,41339
39,100,200,4,7,68,723127,29753,34352,296,604330,28117,138618
39,100,200,8,7,68,723127,29753,34352,41,18396,17191,28443
39,100,200,12,7,68,723127,29753,34352,55,39999,29868,35569
39,100,200,16,7,68,723127,29753,34352,65,38737,34548,33242
0,100,250,4,3,277,113661,39644,15593,365,35634,28145,21245
0,100,250,8,3,277,113661,39644,15593,738,64106,26933,42050
0,100,250,12,3,277,113661,39644,15593,476,79737,32024,46701
0,100,250,16,3,277,113661,39644,15593,541,57381,30587,57565
1,100,250,4,-1,58,34816,25445,12930,52,30280,23825,12673
1,100,250,8,-1,58,34816,25445,12930,40,37937,26365,13065
1,100,250,12,-1,58,34816,25445,12930,48,31572,24973,12799
1,100,250,16,-1,58,34816,25445,12930,35,31402,23092,12586
2,100,250,4,5,82,367089,26961,25602,1276,735696,28185,187320
2,100,250,8,5,82,367089,26961,25602,230,26927,26111,40544
2,100,250,12,5,82,367089,26961,25602,343,61638,30187,48735
2,100,250,16,5,82,367089,26961,25602,222,57837,30865,46568
3,100,250,4,2,21,57180,23043,12852,133,32675,26895,24136
3,100,250,8,2,21,57180,23043,12852,254,63615,26291,45205
3,100,250,12,2,21,57180,23043,12852,256,66182,22099,47106
3,100,250,16,2,21,57180,23043,12852,419,59745,30291,45026
4,100,250,4,5,70,444084,27500,27730,1328,864309,30818,232781
4,100,250,8,5,70,444084,27500,27730,232,27473,27048,25390
4,100,250,12,5,70,444084,27500,27730,3446,52366,26588,42787
4,100,250,16,5,70,444084,27500,27730,269,48074,27534,38470
5,100,250,4,5,153,675845,27457,38366,2964,1330010,29082,201554
5,100,250,8,5,153,675845,27457,38366,289,25987,26051,32846
5,100,250,12,5,153,675845,27457,38366,165,57287,26676,48907
5,100,250,16,5,153,675845,27457,38366,156,58840,23573,47593
6,100,250,4,2,31,68055,30941,15129,108,36356,27417,26879
6,100,250,8,2,31,68055,30941,15129,166,58973,26627,49235
6,100,250,12,2,31,68055,30941,15129,149,54028,26791,48989
6,100,250,16,2,31,68055,30941,15129,152,57747,31534,51814
7,100,250,4,7,162,966403,27816,44254,957,1114302,26964,175463
7,100,250,8,7,162,966403,27816,44254,110,32720,228954,49243
7,100,250,12,7,162,966403,27816,44254,131,55757,15909,49415
7,100,250,16,7,162,966403,27816,44254,143,55450,16292,56372
8,100,250,4,-1,14,22209,22144,17011,19,23508,17308,16516
8,100,250,8,-1,14,22209,22144,17011,17,27432,16707,12184
8,100,250,12,-1,14,22209,22144,17011,17,24424,16387,12549
8,100,250,16,-1,14,22209,22144,17011,17,21671,12147,10589
9,100,250,4,3,25,187710,17122,17758,49,38069,15455,31151
9,100,250,8,3,25,187710,17122,17758,139,57746,16780,48489
9,100,250,12,3,25,187710,17122,17758,88,62140,16419,51103
9,100,250,16,3,25,187710,17122,17758,121,57793,21189,51009
10,100,250,4,5,90,433630,29326,25209,775,786217,31827,168585
10,100,250,8,5,90,433630,29326,25209,84,26895,12843,22448
10,100,250,12,5,90,433630,29326,25209,414,54839,29122,47508
10,100,250,16,5,90,433630,29326,25209,487,61519,31397,48859
11,100,250,4,5,269,620734,36283,36008,1232,1248912,30171,248809
11,100,250,8,5,269,620734,36283,36008,104,28099,18508,34243
11,100,250,12,5,269,620734,36283,36008,159,53574,33988,46910
11,100,250,16,5,269,620734,36283,36008,105,57511,29134,53180
12,100,250,4,1,9,21652,23127,10682,88,34478,27459,23199
12,100,250,8,1,9,21652,23127,10682,86,56092,31460,46613
12,100,250,12,1,9,21652,23127,10682,123,56201,28753,47036
12,100,250,16,1,9,21652,23127,10682,110,57523,27486,49337
13,100,250,4,4,40,167651,24556,17035,43,26234,27565,18636
13,100,250,8,4,40,167651,24556,17035,159,58624,30468,45149
13,100,250,12,4,40,167651,24556,17035,87,57592,26976,47524
13,100,250,16,4,40,167651,24556,17035,130,57503,24949,49056
14,100,250,4,2,15,55440,29675,14521,168,33495,30663,21985
14,100,250,8,2,15,55440,29675,14521,103,58639,28590,51360
14,100,250,12,2,15,55440,29675,14521,57,53142,25320,49069
14,100,250,16,2,15,55440,29675,14521,67,59301,30150,48951
15,100,250,4,3,43,161971,29645,17423,31,32545,27138,25576
15,100,250,8,3,43,161971,29645,17423,67,56003,28793,43029
15,100,250,12,3,43,161971,29645,17423,71,57974,29001,55590
15,100,250,16,3,43,161971,29645,17423,83,29197,23882,42723
16,100,250,4,4,33,135280,26749,17243,18,25516,17538,17345
16,100,250,8,4,33,135280,26749,17243,59,52686,29627,31672
16,100,250,12,4,33,135280,26749,17243,75,53718,27620,50778
16,100,250,16,4,33,135280,26749,17243,86,58099,26556,49862
17,100,250,4,6,69,694052,31466,38204,815,847589,24426,223019
17,100,250,8,6,69,694052,31466,38204,66,32866,25983,49128
17,100,250,12,6,69,694052,31466,38204,81,54154,22581,51272
17,100,250,16,6,69,694052,31466,38204,72,53644,42203,49147
18,100,250,4,4,49,265000,25458,21265,42,34240,23158,23095
18,100,250,8,4,49,265000,25458,21265,114,52798,24516,49251
18,100,250,12,4,49,265000,25458,21265,101,57433,24215,49891
18,100,250,16,4,49,265000,25458,21265,57,53583,24909,46799
19,100,250,4,-1,102,999486,29782,46632,1280,1940244,29953,221341
19,100,250,8,-1,102,999486,29782,46632,4410,3251141,35150,478212
19,100,250,12,-1,102,999486,29782,46632,3781,3424330,44054,443940
19,100,250,16,-1,102,999486,29782,46632,4032,3340489,39801,497679
20,100,250,4,6,114,844147,25078,25221,648,942592,30482,207644
20,100,250,8,6,114,844147,25078,25221,52,29816,32202,27313
20,100,250,12,6,114,844147,25078,25221,59,47316,27102,49096
20,100,250,16,6,114,844147,25078,25221,64,50532,29276,45838
21,100,250,4,1,8,22085,17337,13523,58,30944,27098,22947
21,100,250,8,1,8,22085,17337,13523,82,49904,27015,53475
21,100,250,12,1,8,22085,17337,13523,86,46872,28298,45832
21,100,250,16,1,8,22085,17337,13523,72,49950,26827,49472
22,100,250,4,-1,106,1072498,259685,40338,1532,1757503,32237,218863
22,100,250,8,-1,106,1072498,259685,40338,3481,3416910,33241,376058
22,100,250,12,-1,106,1072498,259685,40338,3239,2402055,38405,494575
22,100,250,16,-1,106,1072498,259685,40338,3501,5066989,43460,466401
23,100,250,4,4,40,368608,27508,23648,24,32266,23274,23348
23,100,250,8,4,40,368608,27508,23648,66,56060,26916,49249
23,100,250,12,4,40,368608,27508,23648,75,55416,29474,49334
23,100,250,16,4,40,368608,27508,23648,58,61668,36075,47105
24,100,250,4,3,20,190698,25203,16854,24,34691,28887,26087
24,100,250,8,3,20,190698,25203,16854,52,56299,26577,47248
24,100,250,12,3,20,190698,25203,16854,46,55719,27042,46988
24,100,250,16,3,20,190698,25203,16854,72,52978,25596,47270
25,100,250,4,3,19,192282,25636,18729,38,34973,24792,25629
25,100,250,8,3,19,192282,25636,18729,56,58016,27426,46711
25,100,250,12,3,19,192282,25636,18729,78,55901,29087,48729
25,100,250,16,3,19,192282,25636,18729,44,58630,31214,48959
26,100,250,4,-1,99,1018552,269781,50377,1157,1989866,36482,287730
26,100,250,8,-1,99,1018552,269781,50377,2833,3611329,45241,475009
26,100,250,12,-1,99,1018552,269781,50377,4020,3464402,37366,454420
26,100,250,16,-1,99,1018552,269781,50377,2811,3712894,40850,422335
27,100,250,4,5,128,666161,27382,32531,735,1293724,31259,185984
27,100,250,8,5,128,666161,27382,32531,49,25416,12424,23387
27,100,250,12,5,128,666161,27382,32531,67,58135,29306,51133
27,100,250,16,5,128,666161,27382,32531,67,57505,25715,46785
28,100,250,4,-1,22,21145,14670,12905,4,21596,16727,11000
28,100,250,8,-1,22,21145,14670,12905,4,21354,16986,12732
28,100,250,12,-1,22,21145,14670,12905,4,21627,17225,12592
28,100,250,16,-1,22,21145,14670,12905,23,20771,17471,12240
29,100,250,4,-1,11,36465,25581,14545,6,32590,27269,15040
29,100,250,8,-1,11,36465,25581,14545,7,34121,27587,14808
29,100,250,12,-1,11,36465,25581,14545,10,34795,27156,12984
29,100,250,16,-1,11,36465,25581,14545,6,31550,27474,12876
30,100,250,4,7,100,1005351,247722,47355,804,1282989,22517,196584
