attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
4,100,250,16,5,108,13234,606,8588,200,19497,822,22290
5,100,250,4,5,118,17444,1309,14186,2447,250216,1214,237577
5,100,250,8,5,118,17444,1309,14186,280,16323,882,15770
5,100,250,12,5,118,17444,1309,14186,357,20487,725,17035
5,100,250,16,5,118,17444,1309,14186,171,18777,877,22465
6,100,250,4,2,29,3352,600,2682,49,6636,788,7951
6,100,250,8,2,29,3352,600,2682,89,18850,496,15304
6,100,250,12,2,29,3352,600,2682,124,18820,488,15107
6,100,250,16,2,29,3352,600,2682,118,16911,669,16024
7,100,250,4,7,165,23028,637,14406,1128,203517,1178,181768
7,100,250,8,7,165,23028,637,14406,99,14305,745,18221
7,100,250,12,7,165,23028,637,14406,85,16991,441,16751
7,100,250,16,7,165,23028,637,14406,122,18463,491,16237
8,100,250,4,-1,11,457,464,832,12,598,331,758
8,100,250,8,-1,11,457,464,832,10,784,387,685
8,100,250,12,-1,11,457,464,832,24,525,429,498
8,100,250,16,-1,11,457,464,832,11,439,457,453
9,100,250,4,3,55,4615,412,3009,50,6048,531,8134
9,100,250,8,3,55,4615,412,3009,142,17056,647,16417
9,100,250,12,3,55,4615,412,3009,113,18540,598,14841
9,100,250,16,3,55,4615,412,3009,96,18041,554,19920
10,100,250,4,5,60,11127,484,6051,1018,175724,894,153581
10,100,250,8,5,60,11127,484,6051,86,15444,598,13649
10,100,250,12,5,60,11127,484,6051,100,16614,444,12954
10,100,250,16,5,60,11127,484,6051,100,14959,828,14727
11,100,250,4,5,97,14180,417,10754,1191,210514,1116,204024
11,100,250,8,5,97,14180,417,10754,145,14122,584,14811
11,100,250,12,5,97,14180,417,10754,175,18766,415,14689
11,100,250,16,5,97,14180,417,10754,88,17998,545,30811
12,100,250,4,1,21,631,693,1133,66,7331,391,8318
12,100,250,8,1,21,631,693,1133,124,18003,632,18633
12,100,250,12,1,21,631,693,1133,71,17767,552,17805
12,100,250,16,1,21,631,693,1133,87,19185,448,17610
13,100,250,4,4,19,4200,653,2677,51,2930,669,4316
13,100,250,8,4,19,4200,653,2677,126,13107,410,14921
13,100,250,12,4,19,4200,653,2677,86,13879,454,15805
13,100,250,16,4,19,4200,653,2677,128,16828,578,14439
14,100,250,4,2,11,1349,474,2092,125,5905,558,6312
14,100,250,8,2,11,1349,474,2092,69,16767,539,15978
14,100,250,12,2,11,1349,474,2092,87,17100,455,13442
14,100,250,16,2,11,1349,474,2092,85,16838,410,18173
15,100,250,4,3,38,4358,559,3444,29,6103,454,6351
15,100,250,8,3,38,4358,559,3444,86,17952,575,13714
15,100,250,12,3,38,4358,559,3444,54,20589,576,15381
15,100,250,16,3,38,4358,559,3444,138,15836,550,13680
16,100,250,4,4,39,5018,456,2329,16,2546,447,2588
16,100,250,8,4,39,5018,456,2329,120,16084,472,15338
16,100,250,12,4,39,5018,456,2329,78,15767,460,17563
16,100,250,16,4,39,5018,456,2329,59,15527,422,16757
17,100,250,4,6,68,15773,574,10318,680,144680,952,139859
17,100,250,8,6,68,15773,574,10318,52,14766,570,14835
17,100,250,12,6,68,15773,574,10318,75,16082,515,29258
17,100,250,16,6,68,15773,574,10318,110,17440,588,16135
18,100,250,4,4,38,7286,802,4348,26,4831,417,4581
18,100,250,8,4,38,7286,802,4348,61,16416,380,13153
18,100,250,12,4,38,7286,802,4348,133,17030,373,14461
18,100,250,16,4,38,7286,802,4348,158,16096,497,16284
19,100,250,4,-1,187,20432,494,15884,1190,338682,1460,312334
19,100,250,8,-1,187,20432,494,15884,3410,1089947,2878,1013951
19,100,250,12,-1,187,20432,494,15884,3816,1104419,3329,1099905
19,100,250,16,-1,187,20432,494,15884,4805,1121448,2852,1078651
20,100,250,4,6,82,17026,553,12766,479,203531,839,163804
20,100,250,8,6,82,17026,553,12766,70,16814,709,16230
20,100,250,12,6,82,17026,553,12766,53,16623,479,13598
20,100,250,16,6,82,17026,553,12766,41,15109,475,14319
21,100,250,4,1,8,569,457,586,20,7884,436,6115
21,100,250,8,1,8,569,457,586,40,14373,599,13147
21,100,250,12,1,8,569,457,586,56,13836,487,14299
